image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140CD,0.1250
test001_2.jpg,B2407UZO,UZO,0.6250
test001_3.jpg,B2842PKM,BMKM,0.6250
test002_1.jpg,BG1352AE,1352AE,0.2500
test003_1.jpg,B2634UZF,B2634UF,0.1250
test003_2.jpg,B1995JVK,JKL,0.8750
test004_1.jpg,B9062VEH,819300265,1.1250
test005_1.jpg,DD8798KM,LKM,0.7500
test006_1.jpg,T1329KC,17329KC,0.2857
test007_1.jpg,AD8865EE,AD8865,0.2500
test008_1.jpg,DK1157AAB,DKL11175AAAAB,0.5556
test008_2.jpg,AA1997FE,A1991F,0.3750
test009_1.jpg,H8518NA,H865109,0.5714
test009_2.jpg,K1649GB,KL1049,0.5714
test010_1.jpg,B9416PCN,B96410,0.6250
test010_2.jpg,H1147UY,HW1117VY,0.4286
test011_1.jpg,H1691IL,H1691IL,0.0000
test011_2.jpg,B9374RI,B932RI,0.2857
test011_3.jpg,D1204AIG,D1204AIA,0.1250
test012_1.jpg,E1887BA,E1897BA,0.1429
test013_1.jpg,B1439UZP,14360,0.6250
test013_2.jpg,B1128WOS,BW1123,0.6250
test014_1.jpg,B1388DFX,1387DFX,0.2500
test015_1.jpg,AD1798BT,AD1798,0.2500
test016_1.jpg,E1517DQ,1517DOL,0.4286
test017_1.jpg,AD8982FS,AD8902,0.3750
test018_1.jpg,L7603UA,76000312AJ,0.8571
test019_1.jpg,AD7HS,AD72HS,0.2000
test019_2.jpg,B1959WYK,WYK1965,1.1250
test020_1.jpg,AG8634EK,AGACG8602,0.8750
test020_2.jpg,AD1329PY,AD132880225,0.7500
test021_1.jpg,BA1709DW,BA1709DWW,0.1250
test021_2.jpg,W1236VZ,WW1234VZ,0.2857
test022_1.jpg,W1825OZ,WZ1825,0.4286
test022_2.jpg,L1202UE,L12020,0.2857
test022_3.jpg,L3823IB,L1382,0.5714
test023_1.jpg,B1730JLO,17304JLJ,0.3750
test024_1.jpg,B2964TRU,B20967,0.6250
test025_1.jpg,S5585LP,56071012LPP,1.2857
test025_2.jpg,L2858RR,L28059RD,0.4286
test025_3.jpg,W1185ZO,1965,0.7143
test025_4.jpg,9840VU,98400VU,0.1667
test026_1.jpg,N9652DF,9652DE,0.2857
test026_2.jpg,L3836ZX,383606XZX,0.5714
test027_1.jpg,N1905IG,N19605,0.4286
test027_2.jpg,B1109CLR,B1101,0.5000
